# t X Y Z X_set Y_set Z_set
48.320000 17.456171 21.940504 2.956283 0.000000 0.000000 3.000000
48.321000 17.451336 21.940496 2.956290 0.000000 0.000000 3.000000
48.322000 17.446501 21.940487 2.956296 0.000000 0.000000 3.000000
48.323000 17.441668 21.940479 2.956302 0.000000 0.000000 3.000000
48.324000 17.436832 21.940472 2.956309 0.000000 0.000000 3.000000
48.325000 17.431999 21.940464 2.956315 0.000000 0.000000 3.000000
48.326000 17.427166 21.940456 2.956321 0.000000 0.000000 3.000000
48.327000 17.422333 21.940447 2.956327 0.000000 0.000000 3.000000
48.328000 17.417500 21.940439 2.956334 0.000000 0.000000 3.000000
48.329000 17.412666 21.940432 2.956340 0.000000 0.000000 3.000000
48.330000 17.407835 21.940424 2.956346 0.000000 0.000000 3.000000
48.331000 17.403004 21.940416 2.956352 0.000000 0.000000 3.000000
48.332000 17.398172 21.940407 2.956359 0.000000 0.000000 3.000000
48.333000 17.393341 21.940399 2.956365 0.000000 0.000000 3.000000
48.334000 17.388510 21.940392 2.956371 0.000000 0.000000 3.000000
48.335000 17.383680 21.940384 2.956378 0.000000 0.000000 3.000000
48.336000 17.378849 21.940374 2.956384 0.000000 0.000000 3.000000
48.337000 17.374020 21.940367 2.956390 0.000000 0.000000 3.000000
48.338000 17.369190 21.940359 2.956396 0.000000 0.000000 3.000000
48.339000 17.364361 21.940351 2.956402 0.000000 0.000000 3.000000
48.340000 17.359531 21.940344 2.956409 0.000000 0.000000 3.000000
48.341000 17.354704 21.940334 2.956415 0.000000 0.000000 3.000000
48.342000 17.349876 21.940327 2.956421 0.000000 0.000000 3.000000
48.343000 17.345047 21.940319 2.956427 0.000000 0.000000 3.000000
48.344000 17.340219 21.940310 2.956434 0.000000 0.000000 3.000000
48.345000 17.335394 21.940302 2.956440 0.000000 0.000000 3.000000
48.346000 17.330566 21.940294 2.956446 0.000000 0.000000 3.000000
48.347000 17.325739 21.940287 2.956452 0.000000 0.000000 3.000000
48.348000 17.320913 21.940277 2.956458 0.000000 0.000000 3.000000
48.349000 17.316088 21.940269 2.956465 0.000000 0.000000 3.000000
48.350000 17.311262 21.940262 2.956471 0.000000 0.000000 3.000000
48.351000 17.306437 21.940254 2.956477 0.000000 0.000000 3.000000
48.352000 17.301613 21.940245 2.956483 0.000000 0.000000 3.000000
48.353000 17.296787 21.940237 2.956489 0.000000 0.000000 3.000000
48.354000 17.291964 21.940229 2.956495 0.000000 0.000000 3.000000
48.355000 17.287140 21.940220 2.956501 0.000000 0.000000 3.000000
48.356000 17.282316 21.940212 2.956508 0.000000 0.000000 3.000000
48.357000 17.277493 21.940205 2.956514 0.000000 0.000000 3.000000
48.358000 17.272669 21.940197 2.956520 0.000000 0.000000 3.000000
48.359000 17.267847 21.940187 2.956526 0.000000 0.000000 3.000000
48.360000 17.263025 21.940180 2.956532 0.000000 0.000000 3.000000
48.361000 17.258204 21.940172 2.956538 0.000000 0.000000 3.000000
48.362000 17.253382 21.940163 2.956544 0.000000 0.000000 3.000000
48.363000 17.248560 21.940155 2.956551 0.000000 0.000000 3.000000
48.364000 17.243738 21.940147 2.956557 0.000000 0.000000 3.000000
48.365000 17.238918 21.940138 2.956563 0.000000 0.000000 3.000000
48.366000 17.234098 21.940130 2.956569 0.000000 0.000000 3.000000
48.367000 17.229279 21.940123 2.956575 0.000000 0.000000 3.000000
48.368000 17.224459 21.940115 2.956581 0.000000 0.000000 3.000000
48.369000 17.219639 21.940105 2.956588 0.000000 0.000000 3.000000
48.370000 17.214821 21.940098 2.956594 0.000000 0.000000 3.000000
48.371000 17.210001 21.940090 2.956600 0.000000 0.000000 3.000000
48.372000 17.205183 21.940081 2.956606 0.000000 0.000000 3.000000
48.373000 17.200365 21.940073 2.956612 0.000000 0.000000 3.000000
48.374000 17.195549 21.940065 2.956619 0.000000 0.000000 3.000000
48.375000 17.190731 21.940056 2.956625 0.000000 0.000000 3.000000
48.376000 17.185913 21.940048 2.956631 0.000000 0.000000 3.000000
48.377000 17.181097 21.940041 2.956637 0.000000 0.000000 3.000000
48.378000 17.176281 21.940031 2.956643 0.000000 0.000000 3.000000
48.379000 17.171465 21.940023 2.956650 0.000000 0.000000 3.000000
48.380000 17.166649 21.940016 2.956656 0.000000 0.000000 3.000000
48.381000 17.161835 21.940006 2.956662 0.000000 0.000000 3.000000
48.382000 17.157021 21.939999 2.956668 0.000000 0.000000 3.000000
